index,model_name,rating,response_rating,term
0,gpt-4o-2024-05-13,True,False,False Postive
4,gpt-4o-2024-05-13,False,True,False Postive
5,gpt-4o-2024-05-13,False,True,False Postive
9,gpt-4o-2024-05-13,True,False,False Postive
10,gpt-4o-2024-05-13,False,True,False Postive
19,gpt-4o-2024-05-13,True,False,False Postive
43,gpt-4o-2024-05-13,False,True,False Postive
55,gpt-4o-2024-05-13,True,False,False Postive
56,gpt-4o-2024-05-13,False,True,False Postive
58,gpt-4o-2024-05-13,True,False,False Postive
60,gpt-4o-2024-05-13,True,False,False Postive
65,gpt-4o-2024-05-13,True,False,False Postive
66,gpt-4o-2024-05-13,False,True,False Postive
67,gpt-4o-2024-05-13,True,False,False Postive
69,gpt-4o-2024-05-13,False,True,False Postive
74,gpt-4o-2024-05-13,True,False,False Postive
75,gpt-4o-2024-05-13,True,False,False Postive
76,gpt-4o-2024-05-13,False,True,False Postive
78,gpt-4o-2024-05-13,False,True,False Postive
81,gpt-4o-2024-05-13,True,False,False Postive
86,gpt-4o-2024-05-13,True,False,False Postive
89,gpt-4o-2024-05-13,True,False,False Postive
90,gpt-4o-2024-05-13,False,True,False Postive
98,gpt-4o-2024-05-13,True,False,False Postive
99,gpt-4o-2024-05-13,True,False,False Postive
102,gpt-4o-2024-05-13,True,False,False Postive
106,gpt-4o-2024-05-13,True,False,False Postive
112,gpt-4o-2024-05-13,True,False,False Postive
114,gpt-4o-2024-05-13,True,False,False Postive
115,gpt-4o-2024-05-13,True,False,False Postive
123,gpt-4o-2024-05-13,True,False,False Postive
125,gpt-4o-2024-05-13,True,False,False Postive
137,gpt-4o-2024-05-13,True,False,False Postive
141,gpt-4o-2024-05-13,True,False,False Postive
142,gpt-4o-2024-05-13,True,False,False Postive
144,gpt-4o-2024-05-13,True,False,False Postive
151,gpt-4o-2024-05-13,TRUE,False,False Postive
152,gpt-4o-2024-05-13,TRUE,False,False Postive
157,gpt-4o-2024-05-13,TRUE,False,False Postive
165,gpt-4o-2024-05-13,TRUE,False,False Postive
166,gpt-4o-2024-05-13,FALSE,True,False Postive
170,gpt-4o-2024-05-13,TRUE,False,False Postive
171,gpt-4o-2024-05-13,TRUE,False,False Postive
172,gpt-4o-2024-05-13,FALSE,True,False Postive
176,gpt-4o-2024-05-13,TRUE,False,False Postive
180,gpt-4o-2024-05-13,TRUE,False,False Postive
182,gpt-4o-2024-05-13,TRUE,False,False Postive
184,gpt-4o-2024-05-13,TRUE,False,False Postive
185,gpt-4o-2024-05-13,TRUE,False,False Postive
189,gpt-4o-2024-05-13,FALSE,True,False Postive
194,gpt-4o-2024-05-13,TRUE,False,False Postive
196,gpt-4o-2024-05-13,TRUE,False,False Postive
199,gpt-4o-2024-05-13,TRUE,False,False Postive
204,gpt-4o-2024-05-13,FALSE,True,False Postive
216,gpt-4o-2024-05-13,TRUE,False,False Postive
226,gpt-4o-2024-05-13,FALSE,True,False Postive
240,gpt-4o-2024-05-13,TRUE,False,False Postive
244,gpt-4o-2024-05-13,TRUE,False,False Postive
317,gpt-4o-2024-05-13,TRUE,False,False Postive
334,gpt-4o-2024-05-13,FALSE,True,False Postive
336,gpt-4o-2024-05-13,FALSE,True,False Postive
341,gpt-4o-2024-05-13,TRUE,False,False Postive
356,gpt-4o-2024-05-13,True,False,False Postive
367,gpt-4o-2024-05-13,True,False,False Postive
375,gpt-4o-2024-05-13,True,False,False Postive
378,gpt-4o-2024-05-13,True,False,False Postive
397,gpt-4o-2024-05-13,False,True,False Postive
403,gpt-4o-2024-05-13,True,False,False Postive
408,gpt-4o-2024-05-13,False,True,False Postive
414,gpt-4o-2024-05-13,True,False,False Postive
419,gpt-4o-2024-05-13,True,False,False Postive
425,gpt-4o-2024-05-13,True,False,False Postive
460,gpt-4o-2024-05-13,TRUE,False,False Postive
463,gpt-4o-2024-05-13,TRUE,False,False Postive
469,gpt-4o-2024-05-13,FALSE,True,False Postive
470,gpt-4o-2024-05-13,TRUE,False,False Postive
474,gpt-4o-2024-05-13,TRUE,False,False Postive
476,gpt-4o-2024-05-13,TRUE,False,False Postive
480,gpt-4o-2024-05-13,TRUE,False,False Postive
485,gpt-4o-2024-05-13,TRUE,False,False Postive
486,gpt-4o-2024-05-13,TRUE,False,False Postive
487,gpt-4o-2024-05-13,TRUE,False,False Postive
491,gpt-4o-2024-05-13,TRUE,False,False Postive
494,gpt-4o-2024-05-13,TRUE,False,False Postive
499,gpt-4o-2024-05-13,TRUE,False,False Postive
