index,model_name,rating,response_rating,term
0,llama3:70b,True,False,False Postive
4,llama3:70b,False,True,False Postive
5,llama3:70b,False,True,False Postive
7,llama3:70b,True,False,False Postive
12,llama3:70b,False,True,False Postive
19,llama3:70b,True,False,False Postive
20,llama3:70b,False,True,False Postive
25,llama3:70b,True,False,False Postive
31,llama3:70b,False,True,False Postive
33,llama3:70b,False,True,False Postive
42,llama3:70b,True,False,False Postive
49,llama3:70b,False,True,False Postive
57,llama3:70b,True,False,False Postive
59,llama3:70b,True,False,False Postive
61,llama3:70b,True,False,False Postive
66,llama3:70b,False,True,False Postive
67,llama3:70b,True,False,False Postive
69,llama3:70b,False,True,False Postive
70,llama3:70b,True,False,False Postive
73,llama3:70b,False,True,False Postive
75,llama3:70b,True,False,False Postive
76,llama3:70b,False,True,False Postive
80,llama3:70b,False,True,False Postive
86,llama3:70b,True,False,False Postive
87,llama3:70b,False,True,False Postive
89,llama3:70b,True,False,False Postive
95,llama3:70b,False,True,False Postive
97,llama3:70b,False,True,False Postive
98,llama3:70b,True,False,False Postive
100,llama3:70b,False,True,False Postive
105,llama3:70b,True,False,False Postive
106,llama3:70b,True,False,False Postive
107,llama3:70b,False,True,False Postive
115,llama3:70b,True,False,False Postive
126,llama3:70b,True,False,False Postive
130,llama3:70b,True,False,False Postive
132,llama3:70b,True,False,False Postive
138,llama3:70b,True,False,False Postive
144,llama3:70b,True,False,False Postive
145,llama3:70b,True,False,False Postive
146,llama3:70b,True,False,False Postive
149,llama3:70b,True,False,False Postive
150,llama3:70b,TRUE,False,False Postive
154,llama3:70b,FALSE,True,False Postive
158,llama3:70b,TRUE,False,False Postive
160,llama3:70b,TRUE,False,False Postive
161,llama3:70b,TRUE,False,False Postive
162,llama3:70b,FALSE,True,False Postive
163,llama3:70b,TRUE,False,False Postive
164,llama3:70b,TRUE,False,False Postive
165,llama3:70b,TRUE,False,False Postive
167,llama3:70b,FALSE,True,False Postive
168,llama3:70b,TRUE,False,False Postive
170,llama3:70b,TRUE,False,False Postive
171,llama3:70b,TRUE,False,False Postive
172,llama3:70b,FALSE,True,False Postive
176,llama3:70b,TRUE,False,False Postive
181,llama3:70b,TRUE,False,False Postive
184,llama3:70b,TRUE,False,False Postive
185,llama3:70b,TRUE,False,False Postive
189,llama3:70b,FALSE,True,False Postive
192,llama3:70b,TRUE,False,False Postive
193,llama3:70b,FALSE,True,False Postive
199,llama3:70b,TRUE,False,False Postive
203,llama3:70b,FALSE,True,False Postive
204,llama3:70b,FALSE,True,False Postive
