dependency_category,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology,rag-gpt-4o
value-equality,music-website::::music-client/tsconfig.json::::compilerOptions::::esModuleInterop::::True <-> music-website::::music-client/tsconfig.json::::compilerOptions::::useDefineForClassFields::::True,music-website,compilerOptions.esModuleInterop,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,compilerOptions.useDefineForClassFields,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,False
value-equality,music-website::::music-server/pom.xml::::project::::properties::::java.version::::1.8 <-> music-website::::music-server/pom.xml::::project::::properties::::maven.compiler.source::::1.8,music-website,project.properties.java.version,1.8,ConfigType.VERSION_NUMBER,music-server/pom.xml,maven,project.properties.maven.compiler.source,1.8,ConfigType.VERSION_NUMBER,music-server/pom.xml,maven,True
value-equality,music-website::::music-server/src/main/resources/application-dev.properties::::minio.access-key::::root <-> music-website::::music-server/src/main/resources/application-prod.properties::::spring.datasource.username::::root,music-website,minio.access-key,root,ConfigType.UNKNOWN,music-server/src/main/resources/application-dev.properties,spring,spring.datasource.username,root,ConfigType.USERNAME,music-server/src/main/resources/application-prod.properties,spring,False
value-equality,music-website::::music-manage/tsconfig.json::::compilerOptions::::skipLibCheck::::True <-> music-website::::music-manage/tsconfig.json::::compilerOptions::::sourceMap::::True,music-website,compilerOptions.skipLibCheck,TRUE,ConfigType.IP_ADDRESS,music-manage/tsconfig.json,tsconfig,compilerOptions.sourceMap,TRUE,ConfigType.BOOLEAN,music-manage/tsconfig.json,tsconfig,False
value-equality,music-website::::music-client/tsconfig.json::::compilerOptions::::allowSyntheticDefaultImports::::True <-> music-website::::music-client/tsconfig.json::::compilerOptions::::strict::::True,music-website,compilerOptions.allowSyntheticDefaultImports,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,compilerOptions.strict,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,False
value-equality,music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-devtools::::groupId::::org.springframework.boot <-> music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-web::::groupId::::org.springframework.boot,music-website,project.dependencies.dependency_spring-boot-devtools.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-web.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,False
value-equality,music-website::::music-server/src/main/resources/application.properties::::spring.redis.database::::0 <-> music-website::::music-server/src/main/resources/application.properties::::spring.redis.lettuce.pool.min-idle::::0,music-website,spring.redis.database,0,ConfigType.NAME,music-server/src/main/resources/application.properties,spring,spring.redis.lettuce.pool.min-idle,0,ConfigType.ID,music-server/src/main/resources/application.properties,spring,False
value-equality,music-website::::music-client/tsconfig.json::::compilerOptions::::skipLibCheck::::True <-> music-website::::music-client/tsconfig.json::::compilerOptions::::sourceMap::::True,music-website,compilerOptions.skipLibCheck,TRUE,ConfigType.IP_ADDRESS,music-client/tsconfig.json,tsconfig,compilerOptions.sourceMap,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,False
value-equality,music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-mail::::groupId::::org.springframework.boot <-> music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-web::::exclusions::::exclusion_spring-boot-starter-logging::::groupId::::org.springframework.boot,music-website,project.dependencies.dependency_spring-boot-starter-mail.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-web.exclusions.exclusion_spring-boot-starter-logging.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,False
value-equality,music-website::::music-client/tsconfig.json::::compilerOptions::::module::::esnext <-> music-website::::music-manage/tsconfig.json::::compilerOptions::::target::::esnext,music-website,compilerOptions.module,esnext,ConfigType.UNKNOWN,music-client/tsconfig.json,tsconfig,compilerOptions.target,esnext,ConfigType.VERSION_NUMBER,music-manage/tsconfig.json,tsconfig,False
