dependency_category,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology,rating,final_rating,explanation,gpt-4o_without,gpt-4o_all,gpt-3.5-turbo_all,gpt-3.5-turbo_without,llama3:8b_all
value-equality,apollo::::apollo-audit/apollo-audit-api/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> apollo::::apollo-biz/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,apollo,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,apollo-audit/apollo-audit-api/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,apollo-biz/pom.xml,maven,TRUE,True,,True,True,True,True,False
value-equality,apollo::::apollo-adminservice/src/test/resources/application.properties::::spring.cloud.zookeeper.enabled::::false <-> apollo::::pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_findbugs-maven-plugin::::configuration::::failOnError::::false,apollo,spring.cloud.zookeeper.enabled,FALSE,ConfigType.BOOLEAN,apollo-adminservice/src/test/resources/application.properties,spring,project.build.pluginManagement.plugins.plugin_findbugs-maven-plugin.configuration.failOnError,FALSE,ConfigType.BOOLEAN,pom.xml,maven,FALSE,False,,False,False,False,False,False
value-equality,apollo::::pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_spring-boot-maven-plugin::::configuration::::attach::::false <-> apollo::::pom.xml::::project::::repositories::::repository_sonatype-nexus-snapshots::::releases::::enabled::::false,apollo,project.build.pluginManagement.plugins.plugin_spring-boot-maven-plugin.configuration.attach,FALSE,ConfigType.BOOLEAN,pom.xml,maven,project.repositories.repository_sonatype-nexus-snapshots.releases.enabled,FALSE,ConfigType.BOOLEAN,pom.xml,maven,FALSE,False,,False,False,False,False,False
value-equality,apollo::::apollo-assembly/src/main/resources/application.yml::::spring.cloud.zookeeper.enabled::::False <-> apollo::::apollo-configservice/src/main/resources/application.yml::::eureka.client.fetch-registry::::False,apollo,spring.cloud.zookeeper.enabled,FALSE,ConfigType.BOOLEAN,apollo-assembly/src/main/resources/application.yml,spring,eureka.client.fetch-registry,FALSE,ConfigType.BOOLEAN,apollo-configservice/src/main/resources/application.yml,spring,FALSE,False,,False,False,False,False,
value-equality,apollo::::apollo-audit/apollo-audit-api/pom.xml::::project::::parent_apollo-audit::::groupId::::com.ctrip.framework.apollo <-> apollo::::apollo-configservice/pom.xml::::project::::parent_apollo::::groupId::::com.ctrip.framework.apollo,apollo,project.parent_apollo-audit.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-audit/apollo-audit-api/pom.xml,maven,project.parent_apollo.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-configservice/pom.xml,maven,Borderline,False,options do not depend on each other,True,False,False,True,True
value-equality,apollo::::apollo-audit/apollo-audit-impl/pom.xml::::project::::version::::version:${revision} <-> apollo::::apollo-audit/apollo-audit-spring-boot-starter/pom.xml::::project::::version::::version:${revision},apollo,project.version,version:${revision},ConfigType.VERSION_NUMBER,apollo-audit/apollo-audit-impl/pom.xml,maven,project.version,version:${revision},ConfigType.VERSION_NUMBER,apollo-audit/apollo-audit-spring-boot-starter/pom.xml,maven,Borderline,False,different modules can have different versions,True,False,True,False,
value-equality,apollo::::apollo-audit/apollo-audit-impl/pom.xml::::project::::parent_apollo-audit::::groupId::::com.ctrip.framework.apollo <-> apollo::::apollo-biz/pom.xml::::project::::dependencies::::dependency_apollo-common::::groupId::::com.ctrip.framework.apollo,apollo,project.parent_apollo-audit.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-audit/apollo-audit-impl/pom.xml,maven,project.dependencies.dependency_apollo-common.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-biz/pom.xml,maven,Borderline,False,options do not depend on each other,False,True,True,True,True
value-equality,apollo::::apollo-configservice/pom.xml::::project::::parent_apollo::::groupId::::com.ctrip.framework.apollo <-> apollo::::pom.xml::::project::::groupId::::com.ctrip.framework.apollo,apollo,project.parent_apollo.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-configservice/pom.xml,maven,project.groupId,com.ctrip.framework.apollo,ConfigType.NAME,pom.xml,maven,Borderline,True,sub modules specifies groupId of parent module,True,True,True,True,False
value-equality,apollo::::apollo-adminservice/src/test/resources/application.properties::::spring.jpa.properties.hibernate.show_sql::::false <-> apollo::::apollo-configservice/src/test/resources/application.properties::::spring.cloud.zookeeper.enabled::::false,apollo,spring.jpa.properties.hibernate.show_sql,FALSE,ConfigType.BOOLEAN,apollo-adminservice/src/test/resources/application.properties,spring,spring.cloud.zookeeper.enabled,FALSE,ConfigType.BOOLEAN,apollo-configservice/src/test/resources/application.properties,spring,FALSE,False,,False,False,False,False,
value-equality,"apollo::::apollo-adminservice/src/test/resources/application.yml::::management.health.status.order::::DOWN, OUT_OF_SERVICE, UNKNOWN, UP <-> apollo::::apollo-portal/src/test/resources/application.yml::::management.health.status.order::::DOWN, OUT_OF_SERVICE, UNKNOWN, UP",apollo,management.health.status.order,"DOWN, OUT_OF_SERVICE, UNKNOWN, UP",ConfigType.UNKNOWN,apollo-adminservice/src/test/resources/application.yml,spring,management.health.status.order,"DOWN, OUT_OF_SERVICE, UNKNOWN, UP",ConfigType.UNKNOWN,apollo-portal/src/test/resources/application.yml,spring,Borderline,True,consistent helght management requires equal values,False,True,True,True,True
value-equality,apollo::::apollo-adminservice/src/main/resources/application.yml::::eureka.instance.health-check-url-path::::/health <-> apollo::::apollo-assembly/src/main/resources/application.yml::::eureka.instance.health-check-url-path::::/health,apollo,eureka.instance.health-check-url-path,/health,ConfigType.PATH,apollo-adminservice/src/main/resources/application.yml,spring,eureka.instance.health-check-url-path,/health,ConfigType.PATH,apollo-assembly/src/main/resources/application.yml,spring,Borderline,False,path can differ between modules,True,False,True,True,True
value-equality,apollo::::apollo-configservice/src/test/resources/application.properties::::spring.jpa.defer-datasource-initialization::::true <-> apollo::::apollo-portal/src/main/resources/application.properties::::apollo.audit.log.enabled::::true,apollo,spring.jpa.defer-datasource-initialization,TRUE,ConfigType.VERSION_NUMBER,apollo-configservice/src/test/resources/application.properties,spring,apollo.audit.log.enabled,TRUE,ConfigType.BOOLEAN,apollo-portal/src/main/resources/application.properties,spring,FALSE,False,,False,False,False,False,False
value-equality,apollo::::apollo-configservice/pom.xml::::project::::build::::plugins::::plugin_docker-maven-plugin::::configuration::::resources::::resource::::directory::::${project.build.directory} <-> apollo::::apollo-portal/pom.xml::::project::::build::::plugins::::plugin_replacer::::configuration::::basedir::::${project.build.directory},apollo,project.build.plugins.plugin_docker-maven-plugin.configuration.resources.resource.directory,${project.build.directory},ConfigType.PATH,apollo-configservice/pom.xml,maven,project.build.plugins.plugin_replacer.configuration.basedir,${project.build.directory},ConfigType.PATH,apollo-portal/pom.xml,maven,Borderline,False,options do not depend on each other,False,False,False,False,True
value-equality,apollo::::apollo-audit/apollo-audit-impl/pom.xml::::project::::artifactId::::apollo-audit-impl <-> apollo::::apollo-audit/pom.xml::::project::::modules::::module::::apollo-audit-impl,apollo,project.artifactId,apollo-audit-impl,ConfigType.NAME,apollo-audit/apollo-audit-impl/pom.xml,maven,project.modules.module,apollo-audit-impl,ConfigType.NAME,apollo-audit/pom.xml,maven,TRUE,True,,True,True,False,False,True
value-equality,apollo::::apollo-adminservice/pom.xml::::project::::build::::plugins::::plugin_docker-maven-plugin::::configuration::::imageTags::::imageTag::::${project.version} <-> apollo::::apollo-configservice/pom.xml::::project::::build::::plugins::::plugin_docker-maven-plugin::::configuration::::buildArgs::::VERSION::::${project.version},apollo,project.build.plugins.plugin_docker-maven-plugin.configuration.imageTags.imageTag,${project.version},ConfigType.IMAGE,apollo-adminservice/pom.xml,maven,project.build.plugins.plugin_docker-maven-plugin.configuration.buildArgs.VERSION,${project.version},ConfigType.UNKNOWN,apollo-configservice/pom.xml,maven,TRUE,True,,True,True,False,True,
value-equality,apollo::::apollo-adminservice/pom.xml::::project::::dependencies::::dependency_spring-cloud-starter-netflix-eureka-server::::scope::::test <-> apollo::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_awaitility::::scope::::test,apollo,project.dependencies.dependency_spring-cloud-starter-netflix-eureka-server.scope,test,ConfigType.UNKNOWN,apollo-adminservice/pom.xml,maven,project.dependencyManagement.dependencies.dependency_awaitility.scope,test,ConfigType.UNKNOWN,pom.xml,maven,FALSE,False,,False,False,True,False,False
value-equality,apollo::::apollo-audit/apollo-audit-impl/pom.xml::::project::::parent_apollo-audit::::version::::version:${revision} <-> apollo::::apollo-configservice/pom.xml::::project::::parent_apollo::::version::::version:${revision},apollo,project.parent_apollo-audit.version,version:${revision},ConfigType.VERSION_NUMBER,apollo-audit/apollo-audit-impl/pom.xml,maven,project.parent_apollo.version,version:${revision},ConfigType.VERSION_NUMBER,apollo-configservice/pom.xml,maven,TRUE,True,,True,True,False,True,True
value-equality,apollo::::pom.xml::::project::::build::::resources::::resource::::excludes::::exclude_**/*.properties::::**/*.properties <-> apollo::::pom.xml::::project::::build::::resources::::resource::::includes::::include_**/*.properties::::**/*.properties,apollo,project.build.resources.resource.excludes.exclude_**/*.properties,**/*.properties,ConfigType.PATH,pom.xml,maven,project.build.resources.resource.includes.include_**/*.properties,**/*.properties,ConfigType.PATH,pom.xml,maven,FALSE,False,,False,False,True,True,
value-equality,apollo::::apollo-assembly/src/main/resources/application.yml::::eureka.client.fetch-registry::::False <-> apollo::::apollo-configservice/src/main/resources/application.yml::::eureka.server.enableSelfPreservation::::False,apollo,eureka.client.fetch-registry,FALSE,ConfigType.BOOLEAN,apollo-assembly/src/main/resources/application.yml,spring,eureka.server.enableSelfPreservation,FALSE,ConfigType.BOOLEAN,apollo-configservice/src/main/resources/application.yml,spring,FALSE,False,,False,False,False,False,False
value-equality,apollo::::apollo-adminservice/pom.xml::::project::::dependencies::::dependency_jaxb-runtime::::groupId::::org.glassfish.jaxb <-> apollo::::apollo-portal/pom.xml::::project::::dependencies::::dependency_jaxb-runtime::::groupId::::org.glassfish.jaxb,apollo,project.dependencies.dependency_jaxb-runtime.groupId,org.glassfish.jaxb,ConfigType.NAME,apollo-adminservice/pom.xml,maven,project.dependencies.dependency_jaxb-runtime.groupId,org.glassfish.jaxb,ConfigType.NAME,apollo-portal/pom.xml,maven,Borderline,True,same dependency in different sub modules live under same groupId,False,True,True,True,True
value-equality,apollo::::apollo-audit/apollo-audit-annotation/pom.xml::::project::::parent_apollo-audit::::groupId::::com.ctrip.framework.apollo <-> apollo::::apollo-audit/apollo-audit-impl/pom.xml::::project::::dependencies::::dependency_apollo-audit-api::::groupId::::com.ctrip.framework.apollo,apollo,project.parent_apollo-audit.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-audit/apollo-audit-annotation/pom.xml,maven,project.dependencies.dependency_apollo-audit-api.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-audit/apollo-audit-impl/pom.xml,maven,Borderline,False,options do not depend on each other,True,True,True,False,True
value-equality,apollo::::apollo-audit/apollo-audit-api/pom.xml::::project::::parent_apollo-audit::::version::::version:${revision} <-> apollo::::apollo-portal/pom.xml::::project::::parent_apollo::::version::::version:${revision},apollo,project.parent_apollo-audit.version,version:${revision},ConfigType.VERSION_NUMBER,apollo-audit/apollo-audit-api/pom.xml,maven,project.parent_apollo.version,version:${revision},ConfigType.VERSION_NUMBER,apollo-portal/pom.xml,maven,TRUE,True,,True,True,False,True,True
value-equality,apollo::::apollo-assembly/src/main/resources/application.yml::::server.compression.enabled::::True <-> apollo::::apollo-configservice/src/main/resources/application.yml::::eureka.instance.preferIpAddress::::True,apollo,server.compression.enabled,TRUE,ConfigType.BOOLEAN,apollo-assembly/src/main/resources/application.yml,spring,eureka.instance.preferIpAddress,TRUE,ConfigType.BOOLEAN,apollo-configservice/src/main/resources/application.yml,spring,FALSE,False,,False,False,False,False,False
value-equality,apollo::::apollo-adminservice/src/test/resources/application.properties::::spring.cloud.discovery.enabled::::false <-> apollo::::apollo-portal/pom.xml::::project::::build::::plugins::::plugin_maven-assembly-plugin::::executions::::execution::::configuration::::appendAssemblyId::::false,apollo,spring.cloud.discovery.enabled,FALSE,ConfigType.BOOLEAN,apollo-adminservice/src/test/resources/application.properties,spring,project.build.plugins.plugin_maven-assembly-plugin.executions.execution.configuration.appendAssemblyId,FALSE,ConfigType.BOOLEAN,apollo-portal/pom.xml,maven,FALSE,False,,False,False,False,False,
value-equality,apollo::::apollo-portal/pom.xml::::project::::dependencies::::dependency_javax.mail::::artifactId::::javax.mail <-> apollo::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_javax.mail::::artifactId::::javax.mail,apollo,project.dependencies.dependency_javax.mail.artifactId,javax.mail,ConfigType.NAME,apollo-portal/pom.xml,maven,project.dependencyManagement.dependencies.dependency_javax.mail.artifactId,javax.mail,ConfigType.NAME,pom.xml,maven,TRUE,True,,False,True,True,True,True
value-equality,apollo::::apollo-adminservice/pom.xml::::project::::parent_apollo::::relativePath::::../pom.xml <-> apollo::::apollo-common/pom.xml::::project::::parent_apollo::::relativePath::::../pom.xml,apollo,project.parent_apollo.relativePath,../pom.xml,ConfigType.PATH,apollo-adminservice/pom.xml,maven,project.parent_apollo.relativePath,../pom.xml,ConfigType.PATH,apollo-common/pom.xml,maven,Borderline,True,"if both submodules share the same parent pom thenTrue, else probably False",True,False,True,True,
value-equality,apollo::::apollo-audit/apollo-audit-annotation/pom.xml::::project::::parent_apollo-audit::::version::::version:${revision} <-> apollo::::apollo-audit/apollo-audit-annotation/pom.xml::::project::::version::::version:${revision},apollo,project.parent_apollo-audit.version,version:${revision},ConfigType.VERSION_NUMBER,apollo-audit/apollo-audit-annotation/pom.xml,maven,project.version,version:${revision},ConfigType.VERSION_NUMBER,apollo-audit/apollo-audit-annotation/pom.xml,maven,TRUE,True,,True,True,False,True,
value-equality,apollo::::apollo-adminservice/src/test/resources/application.properties::::spring.h2.console.enabled::::true <-> apollo::::apollo-adminservice/src/test/resources/application.properties::::spring.jpa.defer-datasource-initialization::::true,apollo,spring.h2.console.enabled,TRUE,ConfigType.BOOLEAN,apollo-adminservice/src/test/resources/application.properties,spring,spring.jpa.defer-datasource-initialization,TRUE,ConfigType.VERSION_NUMBER,apollo-adminservice/src/test/resources/application.properties,spring,FALSE,False,,False,False,False,False,
value-equality,apollo::::apollo-adminservice/src/main/resources/application.yml::::eureka.instance.preferIpAddress::::True <-> apollo::::apollo-adminservice/src/test/resources/application.yml::::eureka.instance.preferIpAddress::::True,apollo,eureka.instance.preferIpAddress,TRUE,ConfigType.BOOLEAN,apollo-adminservice/src/main/resources/application.yml,spring,eureka.instance.preferIpAddress,TRUE,ConfigType.BOOLEAN,apollo-adminservice/src/test/resources/application.yml,spring,Borderline,False,,False,False,True,False,True
value-equality,apollo::::apollo-adminservice/src/test/resources/application.properties::::spring.jpa.properties.hibernate.globally_quoted_identifiers::::false <-> apollo::::apollo-portal/src/test/resources/application.properties::::spring.cloud.zookeeper.enabled::::false,apollo,spring.jpa.properties.hibernate.globally_quoted_identifiers,FALSE,ConfigType.ID,apollo-adminservice/src/test/resources/application.properties,spring,spring.cloud.zookeeper.enabled,FALSE,ConfigType.BOOLEAN,apollo-portal/src/test/resources/application.properties,spring,FALSE,False,,False,False,False,False,False
value-equality,apollo::::apollo-assembly/pom.xml::::project::::dependencies::::dependency_apollo-configservice::::groupId::::com.ctrip.framework.apollo <-> apollo::::apollo-audit/apollo-audit-annotation/pom.xml::::project::::parent_apollo-audit::::groupId::::com.ctrip.framework.apollo,apollo,project.dependencies.dependency_apollo-configservice.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-assembly/pom.xml,maven,project.parent_apollo-audit.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-audit/apollo-audit-annotation/pom.xml,maven,Borderline,False,options do not depend on each other,False,False,True,False,True
value-equality,apollo::::apollo-biz/pom.xml::::project::::dependencies::::dependency_spring-cloud-starter-netflix-eureka-client::::groupId::::org.springframework.cloud <-> apollo::::apollo-biz/pom.xml::::project::::dependencies::::dependency_spring-cloud-starter-zookeeper-discovery::::groupId::::org.springframework.cloud,apollo,project.dependencies.dependency_spring-cloud-starter-netflix-eureka-client.groupId,org.springframework.cloud,ConfigType.NAME,apollo-biz/pom.xml,maven,project.dependencies.dependency_spring-cloud-starter-zookeeper-discovery.groupId,org.springframework.cloud,ConfigType.NAME,apollo-biz/pom.xml,maven,Borderline,False,"different environments (test, src)",False,False,False,True,True
value-equality,apollo::::apollo-assembly/src/test/resources/application.properties::::spring.jmx.unique-names::::true <-> apollo::::apollo-biz/src/test/resources/application.properties::::spring.h2.console.enabled::::true,apollo,spring.jmx.unique-names,TRUE,ConfigType.BOOLEAN,apollo-assembly/src/test/resources/application.properties,spring,spring.h2.console.enabled,TRUE,ConfigType.BOOLEAN,apollo-biz/src/test/resources/application.properties,spring,FALSE,False,,False,False,False,False,True
value-equality,apollo::::apollo-buildtools/pom.xml::::project::::parent_apollo::::groupId::::com.ctrip.framework.apollo <-> apollo::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_apollo-common::::groupId::::com.ctrip.framework.apollo,apollo,project.parent_apollo.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-buildtools/pom.xml,maven,project.dependencyManagement.dependencies.dependency_apollo-common.groupId,com.ctrip.framework.apollo,ConfigType.NAME,pom.xml,maven,Borderline,False,options do not depend on each other,False,False,True,False,
value-equality,apollo::::apollo-assembly/src/test/resources/application.properties::::spring.jmx.unique-names::::true <-> apollo::::apollo-portal/src/test/resources/application.properties::::spring.h2.console.enabled::::true,apollo,spring.jmx.unique-names,TRUE,ConfigType.BOOLEAN,apollo-assembly/src/test/resources/application.properties,spring,spring.h2.console.enabled,TRUE,ConfigType.BOOLEAN,apollo-portal/src/test/resources/application.properties,spring,FALSE,False,,False,False,False,False,True
value-equality,apollo::::pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_findbugs-maven-plugin::::groupId::::org.codehaus.mojo <-> apollo::::pom.xml::::project::::build::::plugins::::plugin_flatten-maven-plugin::::groupId::::org.codehaus.mojo,apollo,project.build.pluginManagement.plugins.plugin_findbugs-maven-plugin.groupId,org.codehaus.mojo,ConfigType.NAME,pom.xml,maven,project.build.plugins.plugin_flatten-maven-plugin.groupId,org.codehaus.mojo,ConfigType.NAME,pom.xml,maven,Borderline,False,options do not depend on each other,False,False,False,False,
value-equality,apollo::::apollo-adminservice/src/main/resources/application.properties::::apollo.audit.log.enabled::::true <-> apollo::::pom.xml::::project::::repositories::::repository_sonatype-nexus-snapshots::::snapshots::::enabled::::true,apollo,apollo.audit.log.enabled,TRUE,ConfigType.BOOLEAN,apollo-adminservice/src/main/resources/application.properties,spring,project.repositories.repository_sonatype-nexus-snapshots.snapshots.enabled,TRUE,ConfigType.BOOLEAN,pom.xml,maven,FALSE,False,,False,False,False,False,
value-equality,apollo::::apollo-configservice/src/test/resources/application.properties::::spring.jpa.defer-datasource-initialization::::true <-> apollo::::apollo-portal/pom.xml::::project::::dependencies::::dependency_spring-boot-configuration-processor::::optional::::true,apollo,spring.jpa.defer-datasource-initialization,TRUE,ConfigType.VERSION_NUMBER,apollo-configservice/src/test/resources/application.properties,spring,project.dependencies.dependency_spring-boot-configuration-processor.optional,TRUE,ConfigType.BOOLEAN,apollo-portal/pom.xml,maven,FALSE,False,,False,False,False,False,False
value-equality,apollo::::apollo-build-sql-converter/pom.xml::::project::::profiles::::profile_sql-converter::::build::::plugins::::plugin_exec-maven-plugin::::groupId::::org.codehaus.mojo <-> apollo::::pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_cobertura-maven-plugin::::groupId::::org.codehaus.mojo,apollo,project.profiles.profile_sql-converter.build.plugins.plugin_exec-maven-plugin.groupId,org.codehaus.mojo,ConfigType.NAME,apollo-build-sql-converter/pom.xml,maven,project.build.pluginManagement.plugins.plugin_cobertura-maven-plugin.groupId,org.codehaus.mojo,ConfigType.NAME,pom.xml,maven,Borderline,False,options do not depend on each other,False,False,False,False,True
value-equality,apollo::::apollo-audit/apollo-audit-impl/pom.xml::::project::::version::::version:${revision} <-> apollo::::apollo-audit/apollo-audit-spring-boot-starter/pom.xml::::project::::parent_apollo-audit::::version::::version:${revision},apollo,project.version,version:${revision},ConfigType.VERSION_NUMBER,apollo-audit/apollo-audit-impl/pom.xml,maven,project.parent_apollo-audit.version,version:${revision},ConfigType.VERSION_NUMBER,apollo-audit/apollo-audit-spring-boot-starter/pom.xml,maven,TRUE,True,,True,True,True,True,
value-equality,apollo::::apollo-biz/src/test/resources/application.properties::::spring.cloud.discovery.enabled::::false <-> apollo::::apollo-biz/src/test/resources/application.properties::::spring.jpa.hibernate.globally_quoted_identifiers::::false,apollo,spring.cloud.discovery.enabled,FALSE,ConfigType.BOOLEAN,apollo-biz/src/test/resources/application.properties,spring,spring.jpa.hibernate.globally_quoted_identifiers,FALSE,ConfigType.ID,apollo-biz/src/test/resources/application.properties,spring,FALSE,False,,False,False,False,False,
value-equality,apollo::::apollo-build-sql-converter/pom.xml::::project::::profiles::::profile_sql-converter::::activation::::activeByDefault::::false <-> apollo::::pom.xml::::project::::build::::plugins::::plugin_maven-surefire-plugin::::configuration::::trimStackTrace::::false,apollo,project.profiles.profile_sql-converter.activation.activeByDefault,FALSE,ConfigType.BOOLEAN,apollo-build-sql-converter/pom.xml,maven,project.build.plugins.plugin_maven-surefire-plugin.configuration.trimStackTrace,FALSE,ConfigType.BOOLEAN,pom.xml,maven,FALSE,False,,False,False,False,False,
value-equality,apollo::::apollo-audit/apollo-audit-annotation/pom.xml::::project::::artifactId::::apollo-audit-annotation <-> apollo::::apollo-audit/pom.xml::::project::::modules::::module::::apollo-audit-annotation,apollo,project.artifactId,apollo-audit-annotation,ConfigType.NAME,apollo-audit/apollo-audit-annotation/pom.xml,maven,project.modules.module,apollo-audit-annotation,ConfigType.NAME,apollo-audit/pom.xml,maven,TRUE,True,,True,True,True,True,True
value-equality,apollo::::apollo-audit/pom.xml::::project::::parent_apollo::::groupId::::com.ctrip.framework.apollo <-> apollo::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_apollo-biz::::groupId::::com.ctrip.framework.apollo,apollo,project.parent_apollo.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-audit/pom.xml,maven,project.dependencyManagement.dependencies.dependency_apollo-biz.groupId,com.ctrip.framework.apollo,ConfigType.NAME,pom.xml,maven,Borderline,False,options do not depend on each other,False,False,False,True,
value-equality,apollo::::apollo-portal/src/test/resources/application.properties::::spring.cloud.consul.enabled::::false <-> apollo::::apollo-portal/src/test/resources/application.properties::::spring.jpa.properties.hibernate.globally_quoted_identifiers::::false,apollo,spring.cloud.consul.enabled,FALSE,ConfigType.BOOLEAN,apollo-portal/src/test/resources/application.properties,spring,spring.jpa.properties.hibernate.globally_quoted_identifiers,FALSE,ConfigType.ID,apollo-portal/src/test/resources/application.properties,spring,FALSE,False,,False,False,False,False,
value-equality,apollo::::apollo-adminservice/src/test/resources/application.properties::::spring.jpa.defer-datasource-initialization::::true <-> apollo::::pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_git-commit-id-plugin::::configuration::::generateGitPropertiesFile::::true,apollo,spring.jpa.defer-datasource-initialization,TRUE,ConfigType.VERSION_NUMBER,apollo-adminservice/src/test/resources/application.properties,spring,project.build.pluginManagement.plugins.plugin_git-commit-id-plugin.configuration.generateGitPropertiesFile,TRUE,ConfigType.BOOLEAN,pom.xml,maven,FALSE,False,,False,False,False,False,True
value-equality,apollo::::apollo-assembly/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::groupId::::org.springframework.boot <-> apollo::::apollo-common/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-actuator::::groupId::::org.springframework.boot,apollo,project.build.plugins.plugin_spring-boot-maven-plugin.groupId,org.springframework.boot,ConfigType.NAME,apollo-assembly/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-actuator.groupId,org.springframework.boot,ConfigType.NAME,apollo-common/pom.xml,maven,Borderline,False,options do not depend on each other,False,False,False,False,False
