index,rating,gpt-3.5-turbo-0125,gpt-4o-2024-05-13,llama3:8b,llama3:70b,project,option_name,option_file,option_value,option_type,option_technology,dependent_option_name,dependent_option_value,dependent_option_file,dependent_option_type,dependent_option_technology
0,True,TP,FN,TP,FN,apollo,project.modelVersion,apollo-audit/apollo-audit-api/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,apollo-biz/pom.xml,VERSION_NUMBER,maven
1,False,TN,TN,TN,TN,apollo,spring.cloud.zookeeper.enabled,apollo-adminservice/src/test/resources/application.properties,FALSE,BOOLEAN,spring,project.build.pluginManagement.plugins.plugin_findbugs-maven-plugin.configuration.failOnError,FALSE,pom.xml,BOOLEAN,maven
2,False,TN,TN,TN,TN,apollo,project.build.pluginManagement.plugins.plugin_spring-boot-maven-plugin.configuration.attach,pom.xml,FALSE,BOOLEAN,maven,project.repositories.repository_sonatype-nexus-snapshots.releases.enabled,FALSE,pom.xml,BOOLEAN,maven
3,False,TN,TN,TN,TN,apollo,spring.cloud.zookeeper.enabled,apollo-assembly/src/main/resources/application.yml,FALSE,BOOLEAN,spring,eureka.client.fetch-registry,FALSE,apollo-configservice/src/main/resources/application.yml,BOOLEAN,spring
4,False,FP,FP,FP,FP,apollo,project.parent_apollo-audit.groupId,apollo-audit/apollo-audit-api/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.parent_apollo.groupId,com.ctrip.framework.apollo,apollo-configservice/pom.xml,NAME,maven
5,False,FP,FP,FP,FP,apollo,project.version,apollo-audit/apollo-audit-impl/pom.xml,version:${revision},VERSION_NUMBER,maven,project.version,version:${revision},apollo-audit/apollo-audit-spring-boot-starter/pom.xml,VERSION_NUMBER,maven
6,False,TN,TN,TN,TN,apollo,project.parent_apollo-audit.groupId,apollo-audit/apollo-audit-impl/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencies.dependency_apollo-common.groupId,com.ctrip.framework.apollo,apollo-biz/pom.xml,NAME,maven
7,True,FN,TP,TP,FN,apollo,project.parent_apollo.groupId,apollo-configservice/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.groupId,com.ctrip.framework.apollo,pom.xml,NAME,maven
8,False,TN,TN,TN,TN,apollo,spring.jpa.properties.hibernate.show_sql,apollo-adminservice/src/test/resources/application.properties,FALSE,BOOLEAN,spring,spring.cloud.zookeeper.enabled,FALSE,apollo-configservice/src/test/resources/application.properties,BOOLEAN,spring
9,True,TP,FN,TP,TP,apollo,management.health.status.order,apollo-adminservice/src/test/resources/application.yml,"DOWN, OUT_OF_SERVICE, UNKNOWN, UP",UNKNOWN,spring,management.health.status.order,"DOWN, OUT_OF_SERVICE, UNKNOWN, UP",apollo-portal/src/test/resources/application.yml,UNKNOWN,spring
10,False,FP,FP,FP,TN,apollo,eureka.instance.health-check-url-path,apollo-adminservice/src/main/resources/application.yml,/health,PATH,spring,eureka.instance.health-check-url-path,/health,apollo-assembly/src/main/resources/application.yml,PATH,spring
11,False,TN,TN,TN,TN,apollo,spring.jpa.defer-datasource-initialization,apollo-configservice/src/test/resources/application.properties,TRUE,VERSION_NUMBER,spring,apollo.audit.log.enabled,TRUE,apollo-portal/src/main/resources/application.properties,BOOLEAN,spring
12,False,FP,TN,FP,FP,apollo,project.build.plugins.plugin_docker-maven-plugin.configuration.resources.resource.directory,apollo-configservice/pom.xml,${project.build.directory},PATH,maven,project.build.plugins.plugin_replacer.configuration.basedir,${project.build.directory},apollo-portal/pom.xml,PATH,maven
13,True,FN,TP,TP,TP,apollo,project.artifactId,apollo-audit/apollo-audit-impl/pom.xml,apollo-audit-impl,NAME,maven,project.modules.module,apollo-audit-impl,apollo-audit/pom.xml,NAME,maven
14,True,TP,TP,TP,TP,apollo,project.build.plugins.plugin_docker-maven-plugin.configuration.imageTags.imageTag,apollo-adminservice/pom.xml,${project.version},IMAGE,maven,project.build.plugins.plugin_docker-maven-plugin.configuration.buildArgs.VERSION,${project.version},apollo-configservice/pom.xml,UNKNOWN,maven
15,False,TN,TN,TN,TN,apollo,project.dependencies.dependency_spring-cloud-starter-netflix-eureka-server.scope,apollo-adminservice/pom.xml,test,UNKNOWN,maven,project.dependencyManagement.dependencies.dependency_awaitility.scope,test,pom.xml,UNKNOWN,maven
16,True,TP,TP,FN,TP,apollo,project.parent_apollo-audit.version,apollo-audit/apollo-audit-impl/pom.xml,version:${revision},VERSION_NUMBER,maven,project.parent_apollo.version,version:${revision},apollo-configservice/pom.xml,VERSION_NUMBER,maven
17,False,FP,TN,FP,TN,apollo,project.build.resources.resource.excludes.exclude_**/*.properties,pom.xml,**/*.properties,PATH,maven,project.build.resources.resource.includes.include_**/*.properties,**/*.properties,pom.xml,PATH,maven
18,False,TN,TN,TN,TN,apollo,eureka.client.fetch-registry,apollo-assembly/src/main/resources/application.yml,FALSE,BOOLEAN,spring,eureka.server.enableSelfPreservation,FALSE,apollo-configservice/src/main/resources/application.yml,BOOLEAN,spring
19,True,TP,FN,TP,FN,apollo,project.dependencies.dependency_jaxb-runtime.groupId,apollo-adminservice/pom.xml,org.glassfish.jaxb,NAME,maven,project.dependencies.dependency_jaxb-runtime.groupId,org.glassfish.jaxb,apollo-portal/pom.xml,NAME,maven
20,False,TN,TN,FP,FP,apollo,project.parent_apollo-audit.groupId,apollo-audit/apollo-audit-annotation/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencies.dependency_apollo-audit-api.groupId,com.ctrip.framework.apollo,apollo-audit/apollo-audit-impl/pom.xml,NAME,maven
21,True,TP,TP,TP,TP,apollo,project.parent_apollo-audit.version,apollo-audit/apollo-audit-api/pom.xml,version:${revision},VERSION_NUMBER,maven,project.parent_apollo.version,version:${revision},apollo-portal/pom.xml,VERSION_NUMBER,maven
22,False,TN,TN,TN,TN,apollo,server.compression.enabled,apollo-assembly/src/main/resources/application.yml,TRUE,BOOLEAN,spring,eureka.instance.preferIpAddress,TRUE,apollo-configservice/src/main/resources/application.yml,BOOLEAN,spring
23,False,TN,TN,TN,TN,apollo,spring.cloud.discovery.enabled,apollo-adminservice/src/test/resources/application.properties,FALSE,BOOLEAN,spring,project.build.plugins.plugin_maven-assembly-plugin.executions.execution.configuration.appendAssemblyId,FALSE,apollo-portal/pom.xml,BOOLEAN,maven
24,True,TP,TP,TP,TP,apollo,project.dependencies.dependency_javax.mail.artifactId,apollo-portal/pom.xml,javax.mail,NAME,maven,project.dependencyManagement.dependencies.dependency_javax.mail.artifactId,javax.mail,pom.xml,NAME,maven
25,True,TP,TP,TP,FN,apollo,project.parent_apollo.relativePath,apollo-adminservice/pom.xml,../pom.xml,PATH,maven,project.parent_apollo.relativePath,../pom.xml,apollo-common/pom.xml,PATH,maven
26,True,TP,TP,TP,TP,apollo,project.parent_apollo-audit.version,apollo-audit/apollo-audit-annotation/pom.xml,version:${revision},VERSION_NUMBER,maven,project.version,version:${revision},apollo-audit/apollo-audit-annotation/pom.xml,VERSION_NUMBER,maven
27,False,TN,TN,TN,TN,apollo,spring.h2.console.enabled,apollo-adminservice/src/test/resources/application.properties,TRUE,BOOLEAN,spring,spring.jpa.defer-datasource-initialization,TRUE,apollo-adminservice/src/test/resources/application.properties,VERSION_NUMBER,spring
28,False,FP,TN,FP,TN,apollo,eureka.instance.preferIpAddress,apollo-adminservice/src/main/resources/application.yml,TRUE,BOOLEAN,spring,eureka.instance.preferIpAddress,TRUE,apollo-adminservice/src/test/resources/application.yml,BOOLEAN,spring
