index,rating,llama3:70b,project,option_name,option_file,option_value,option_type,option_technology,dependent_option_name,dependent_option_value,dependent_option_file,dependent_option_type,dependent_option_technology,FP_FN_count
0,True,FN,apollo,project.modelVersion,apollo-audit/apollo-audit-api/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,apollo-biz/pom.xml,VERSION_NUMBER,maven,2
4,False,FP,apollo,project.parent_apollo-audit.groupId,apollo-audit/apollo-audit-api/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.parent_apollo.groupId,com.ctrip.framework.apollo,apollo-configservice/pom.xml,NAME,maven,4
5,False,FP,apollo,project.version,apollo-audit/apollo-audit-impl/pom.xml,version:${revision},VERSION_NUMBER,maven,project.version,version:${revision},apollo-audit/apollo-audit-spring-boot-starter/pom.xml,VERSION_NUMBER,maven,4
7,True,FN,apollo,project.parent_apollo.groupId,apollo-configservice/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.groupId,com.ctrip.framework.apollo,pom.xml,NAME,maven,2
12,False,FP,apollo,project.build.plugins.plugin_docker-maven-plugin.configuration.resources.resource.directory,apollo-configservice/pom.xml,${project.build.directory},PATH,maven,project.build.plugins.plugin_replacer.configuration.basedir,${project.build.directory},apollo-portal/pom.xml,PATH,maven,3
19,True,FN,apollo,project.dependencies.dependency_jaxb-runtime.groupId,apollo-adminservice/pom.xml,org.glassfish.jaxb,NAME,maven,project.dependencies.dependency_jaxb-runtime.groupId,org.glassfish.jaxb,apollo-portal/pom.xml,NAME,maven,2
20,False,FP,apollo,project.parent_apollo-audit.groupId,apollo-audit/apollo-audit-annotation/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencies.dependency_apollo-audit-api.groupId,com.ctrip.framework.apollo,apollo-audit/apollo-audit-impl/pom.xml,NAME,maven,2
25,True,FN,apollo,project.parent_apollo.relativePath,apollo-adminservice/pom.xml,../pom.xml,PATH,maven,project.parent_apollo.relativePath,../pom.xml,apollo-common/pom.xml,PATH,maven,1
31,False,FP,apollo,project.dependencies.dependency_spring-cloud-starter-netflix-eureka-client.groupId,apollo-biz/pom.xml,org.springframework.cloud,NAME,maven,project.dependencies.dependency_spring-cloud-starter-zookeeper-discovery.groupId,org.springframework.cloud,apollo-biz/pom.xml,NAME,maven,3
33,False,FP,apollo,project.parent_apollo.groupId,apollo-buildtools/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencyManagement.dependencies.dependency_apollo-common.groupId,com.ctrip.framework.apollo,pom.xml,NAME,maven,2
42,True,FN,apollo,project.artifactId,apollo-audit/apollo-audit-annotation/pom.xml,apollo-audit-annotation,NAME,maven,project.modules.module,apollo-audit-annotation,apollo-audit/pom.xml,NAME,maven,1
49,False,FP,apollo,project.dependencies.dependency_spring-boot-starter-actuator.groupId,apollo-common/pom.xml,org.springframework.boot,NAME,maven,project.build.plugins.plugin_spring-boot-maven-plugin.groupId,org.springframework.boot,apollo-portal/pom.xml,NAME,maven,2
57,True,FN,jetlinks-community,project.artifactId,jetlinks-components/pom.xml,jetlinks-components,NAME,maven,project.parent_jetlinks-components.artifactId,jetlinks-components,jetlinks-components/relation-component/pom.xml,NAME,maven,3
59,True,FN,jetlinks-community,project.dependencies.dependency_jetlinks-core.groupId,jetlinks-components/network-component/mqtt-component/pom.xml,org.jetlinks,NAME,maven,project.dependencies.dependency_jetlinks-core.groupId,org.jetlinks,jetlinks-manager/notify-manager/pom.xml,NAME,maven,1
61,True,FN,jetlinks-community,project.artifactId,jetlinks-components/elasticsearch-component/pom.xml,elasticsearch-component,NAME,maven,project.dependencies.dependency_elasticsearch-component.artifactId,elasticsearch-component,jetlinks-manager/device-manager/pom.xml,NAME,maven,1
66,False,FP,jetlinks-community,project.dependencies.dependency_gateway-component.version,jetlinks-components/network-component/mqtt-component/pom.xml,gateway-component:${project.version},VERSION_NUMBER,maven,project.dependencies.dependency_gateway-component.version,gateway-component:${project.version},jetlinks-standalone/pom.xml,VERSION_NUMBER,maven,4
67,True,FN,jetlinks-community,project.modelVersion,jetlinks-components/logging-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/relation-component/pom.xml,VERSION_NUMBER,maven,3
69,False,FP,jetlinks-community,project.dependencies.dependency_timeseries-component.groupId,jetlinks-components/dashboard-component/pom.xml,${project.groupId},NAME,maven,project.dependencies.dependency_common-component.groupId,${project.groupId},jetlinks-components/rule-engine-component/pom.xml,NAME,maven,3
70,True,FN,jetlinks-community,project.dependencies.dependency_jetlinks-supports.artifactId,jetlinks-manager/notify-manager/pom.xml,jetlinks-supports,NAME,maven,project.dependencies.dependency_jetlinks-supports.artifactId,jetlinks-supports,jetlinks-standalone/pom.xml,NAME,maven,1
73,False,FP,jetlinks-community,project.dependencies.dependency_vertx-core.groupId,jetlinks-components/network-component/mqtt-component/pom.xml,io.vertx,NAME,maven,project.dependencies.dependency_vertx-mqtt.groupId,io.vertx,jetlinks-components/network-component/mqtt-component/pom.xml,NAME,maven,3
75,True,FN,jetlinks-community,project.parent_jetlinks-manager.artifactId,jetlinks-manager/authentication-manager/pom.xml,jetlinks-manager,NAME,maven,project.modules.module,jetlinks-manager,pom.xml,NAME,maven,4
76,False,FP,jetlinks-community,project.dependencies.dependency_gateway-component.groupId,jetlinks-components/logging-component/pom.xml,org.jetlinks.community,NAME,maven,project.groupId,org.jetlinks.community,pom.xml,NAME,maven,4
80,False,FP,jetlinks-community,project.parent_jetlinks-components.version,jetlinks-components/gateway-component/pom.xml,version:2.2.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_notify-component.version,version:2.2.0-SNAPSHOT,jetlinks-components/notify-component/notify-email/pom.xml,VERSION_NUMBER,maven,3
86,True,FN,jetlinks-community,project.modelVersion,jetlinks-components/common-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/network-component/mqtt-component/pom.xml,VERSION_NUMBER,maven,3
87,False,FP,jetlinks-community,project.parent_notify-component.version,jetlinks-components/notify-component/notify-voice/pom.xml,version:2.2.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_jetlinks-manager.version,version:2.2.0-SNAPSHOT,jetlinks-manager/notify-manager/pom.xml,VERSION_NUMBER,maven,3
89,True,FN,jetlinks-community,project.modelVersion,jetlinks-components/notify-component/notify-sms/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/rule-engine-component/pom.xml,VERSION_NUMBER,maven,3
95,False,FP,jetlinks-community,project.parent_jetlinks-components.groupId,jetlinks-components/script-component/pom.xml,org.jetlinks.community,NAME,maven,project.dependencies.dependency_common-component.groupId,org.jetlinks.community,jetlinks-components/things-component/pom.xml,NAME,maven,2
97,False,FP,jetlinks-community,project.dependencies.dependency_relation-component.groupId,jetlinks-components/notify-component/notify-core/pom.xml,org.jetlinks.community,NAME,maven,project.parent_jetlinks-manager.groupId,org.jetlinks.community,jetlinks-manager/logging-manager/pom.xml,NAME,maven,2
98,True,FN,jetlinks-community,project.modelVersion,jetlinks-components/logging-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/timeseries-component/pom.xml,VERSION_NUMBER,maven,2
100,False,FP,litemall,logging.level.org.linlinjava.litemall,litemall-admin-api/src/main/resources/application.yml,ERROR,UNKNOWN,spring,logging.level.org.linlinjava.litemall,ERROR,litemall-wx-api/src/main/resources/application.yml,UNKNOWN,spring,1
105,True,FN,litemall,project.dependencies.dependency_litemall-db.artifactId,litemall-admin-api/pom.xml,litemall-db,NAME,maven,project.artifactId,litemall-db,litemall-db/pom.xml,NAME,maven,2
106,True,FN,litemall,project.dependencies.dependency_weixin-java-miniapp.artifactId,litemall-core/pom.xml,weixin-java-miniapp,NAME,maven,project.dependencies.dependency_weixin-java-miniapp.artifactId,weixin-java-miniapp,litemall-wx-api/pom.xml,NAME,maven,2
107,False,FP,litemall,project.dependencies.dependency_litemall-db.groupId,litemall-admin-api/pom.xml,org.linlinjava,NAME,maven,project.dependencies.dependency_litemall-wx-api.groupId,org.linlinjava,litemall-all-war/pom.xml,NAME,maven,3
115,True,FN,litemall,services.mysql57.ports.in,docker/docker-compose.yml,3306,PORT,docker-compose,services.mysql57.ports.out,3306,docker/docker-compose.yml,PORT,docker-compose,3
126,True,FN,litemall,project.dependencies.dependency_litemall-core.groupId,litemall-all-war/pom.xml,org.linlinjava,NAME,maven,project.dependencyManagement.dependencies.dependency_litemall-all.groupId,org.linlinjava,pom.xml,NAME,maven,1
130,True,FN,litemall,project.dependencies.dependency_weixin-java-miniapp.groupId,litemall-core/pom.xml,com.github.binarywang,NAME,maven,project.dependencies.dependency_weixin-java-miniapp.groupId,com.github.binarywang,litemall-wx-api/pom.xml,NAME,maven,1
132,True,FN,litemall,project.dependencies.dependency_spring-boot-starter-json.groupId,litemall-db/pom.xml,org.springframework.boot,NAME,maven,project.dependencyManagement.dependencies.dependency_spring-boot-starter-json.groupId,org.springframework.boot,pom.xml,NAME,maven,1
138,True,FN,litemall,project.parent_litemall.groupId,litemall-all/pom.xml,org.linlinjava,NAME,maven,project.parent_litemall.groupId,org.linlinjava,litemall-db/pom.xml,NAME,maven,1
144,True,FN,litemall,project.artifactId,litemall-all/pom.xml,litemall-all,NAME,maven,project.modules.module,litemall-all,pom.xml,NAME,maven,2
145,True,FN,litemall,project.dependencies.dependency_litemall-core.groupId,litemall-all-war/pom.xml,org.linlinjava,NAME,maven,project.dependencies.dependency_litemall-core.groupId,org.linlinjava,litemall-all/pom.xml,NAME,maven,1
146,True,FN,litemall,project.parent_litemall.artifactId,litemall-admin-api/pom.xml,litemall,NAME,maven,project.parent_litemall.artifactId,litemall,litemall-all/pom.xml,NAME,maven,1
149,True,FN,litemall,project.dependencies.dependency_litemall-core.artifactId,litemall-all-war/pom.xml,litemall-core,NAME,maven,project.modules.module,litemall-core,pom.xml,NAME,maven,2
150,True,FN,mall-swarm,project.groupId,mall-common/pom.xml,com.macro.mall,NAME,maven,project.parent_mall-swarm.groupId,com.macro.mall,mall-portal/pom.xml,NAME,maven,2
154,False,FP,mall-swarm,project.parent_mall-swarm.version,mall-gateway/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.version,version:1.0-SNAPSHOT,mall-mbg/pom.xml,VERSION_NUMBER,maven,3
158,True,FN,mall-swarm,project.parent_mall-swarm.groupId,mall-mbg/pom.xml,com.macro.mall,NAME,maven,project.groupId,com.macro.mall,mall-portal/pom.xml,NAME,maven,3
160,True,FN,mall-swarm,project.parent_mall-swarm.artifactId,mall-auth/pom.xml,mall-swarm,NAME,maven,project.parent_mall-swarm.artifactId,mall-swarm,mall-monitor/pom.xml,NAME,maven,1
161,True,FN,mall-swarm,project.parent_mall-swarm.artifactId,mall-admin/pom.xml,mall-swarm,NAME,maven,project.parent_mall-swarm.artifactId,mall-swarm,mall-demo/pom.xml,NAME,maven,3
162,False,FP,mall-swarm,project.parent_mall-swarm.version,mall-auth/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.version,version:1.0-SNAPSHOT,mall-monitor/pom.xml,VERSION_NUMBER,maven,2
163,True,FN,mall-swarm,project.artifactId,mall-portal/pom.xml,mall-portal,NAME,maven,project.modules.module,mall-portal,pom.xml,NAME,maven,3
164,True,FN,mall-swarm,project.parent_mall-swarm.groupId,mall-mbg/pom.xml,com.macro.mall,NAME,maven,project.parent_mall-swarm.groupId,com.macro.mall,mall-search/pom.xml,NAME,maven,2
165,True,FN,mall-swarm,project.groupId,mall-admin/pom.xml,com.macro.mall,NAME,maven,project.parent_mall-swarm.groupId,com.macro.mall,mall-search/pom.xml,NAME,maven,3
167,False,FP,mall-swarm,services.mall-admin.environment.TZ,document/docker/docker-compose-app.yml,"""Asia/Shanghai""",ENVIRONMENT,docker-compose,services.mall-portal.environment.TZ,"""Asia/Shanghai""",document/docker/docker-compose-app.yml,ENVIRONMENT,docker-compose,3
168,True,FN,mall-swarm,project.artifactId,mall-mbg/pom.xml,mall-mbg,NAME,maven,project.dependencies.dependency_mall-mbg.artifactId,mall-mbg,mall-portal/pom.xml,NAME,maven,2
170,True,FN,mall-swarm,project.build.plugins.plugin_docker-maven-plugin.groupId,mall-monitor/pom.xml,io.fabric8,NAME,maven,project.build.plugins.plugin_docker-maven-plugin.groupId,io.fabric8,mall-search/pom.xml,NAME,maven,2
171,True,FN,mall-swarm,project.modelVersion,mall-gateway/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,mall-monitor/pom.xml,VERSION_NUMBER,maven,3
172,False,FP,mall-swarm,project.version,mall-search/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.version,version:1.0-SNAPSHOT,pom.xml,VERSION_NUMBER,maven,4
176,True,FN,mall-swarm,project.modelVersion,mall-auth/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,mall-gateway/pom.xml,VERSION_NUMBER,maven,3
181,True,FN,mall-swarm,project.artifactId,mall-mbg/pom.xml,mall-mbg,NAME,maven,project.dependencies.dependency_mall-mbg.artifactId,mall-mbg,mall-portal/pom.xml,NAME,maven,2
184,True,FN,mall-swarm,project.dependencyManagement.dependencies.dependency_mall-mbg.artifactId,pom.xml,mall-mbg,NAME,maven,project.modules.module,mall-mbg,pom.xml,NAME,maven,3
185,True,FN,mall-swarm,project.build.plugins.plugin_docker-maven-plugin.groupId,mall-admin/pom.xml,io.fabric8,NAME,maven,project.build.plugins.plugin_docker-maven-plugin.groupId,io.fabric8,mall-auth/pom.xml,NAME,maven,3
189,False,FP,mall-swarm,project.version,mall-demo/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_mall-swarm.version,version:1.0-SNAPSHOT,mall-monitor/pom.xml,VERSION_NUMBER,maven,3
192,True,FN,mall-swarm,project.artifactId,mall-portal/pom.xml,mall-portal,NAME,maven,project.modules.module,mall-portal,pom.xml,NAME,maven,3
193,False,FP,mall-swarm,project.version,mall-admin/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_mall-swarm.version,version:1.0-SNAPSHOT,mall-demo/pom.xml,VERSION_NUMBER,maven,2
199,True,FN,mall-swarm,project.dependencies.dependency_feign-okhttp.artifactId,mall-admin/pom.xml,feign-okhttp,NAME,maven,project.dependencies.dependency_feign-okhttp.artifactId,feign-okhttp,mall-auth/pom.xml,NAME,maven,2
203,False,FP,mall,project.version,mall-admin/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.version,version:1.0-SNAPSHOT,mall-demo/pom.xml,VERSION_NUMBER,maven,2
204,False,FP,mall,project.parent_mall.groupId,mall-portal/pom.xml,com.macro.mall,NAME,maven,project.groupId,com.macro.mall,mall-security/pom.xml,NAME,maven,3
