index,rating,gpt-3.5-turbo-0125,gpt-4o-2024-05-13,llama3:8b,llama3:70b,context_length,context_relevance,FP_FN_count
0,True,FN,FN,TP,FN,2398,none,3
1,False,TN,TN,FP,TN,1664,none,1
2,False,TN,TN,FP,TN,2285,none,1
3,False,TN,TN,FP,TN,2307,none,1
4,False,FP,TN,FP,FP,2160,none,3
5,False,FP,TN,FP,FP,2322,none,3
6,False,FP,TN,FP,FP,2356,none,3
7,True,FN,FN,TP,TP,2293,none,2
9,True,TP,FN,FN,FN,2254,none,3
10,False,FP,FP,FP,TN,2295,none,3
11,False,TN,TN,FP,TN,2109,none,1
12,False,TN,TN,FP,FP,1868,none,2
13,True,FN,TP,TP,TP,1987,none,1
16,True,TP,TP,FN,TP,2302,none,1
17,False,FP,TN,FP,FP,2321,none,3
18,False,TN,TN,FP,FP,2198,none,2
20,False,FP,FP,FP,FP,2235,none,4
26,True,FN,TP,TP,TP,1989,none,1
27,False,TN,TN,FP,FP,2139,none,2
28,False,FP,FP,FP,TN,2224,none,3
29,False,TN,TN,FP,TN,2203,none,1
30,False,FP,TN,FP,TN,2297,none,2
31,False,FP,TN,FP,FP,2311,none,3
32,False,TN,TN,FP,FP,2201,none,2
33,False,FP,TN,TN,FP,2145,none,2
34,False,TN,TN,TN,FP,2201,none,1
35,False,TN,TN,FP,FP,2121,none,2
39,True,TP,TP,TP,FN,2366,none,1
42,True,TP,TP,FN,TP,2041,none,1
43,False,TN,TN,FP,FP,2361,none,2
44,False,TN,TN,FP,FP,2120,none,2
45,False,TN,TN,FP,TN,2243,none,1
46,False,TN,TN,FP,TN,2264,none,1
48,False,FP,TN,FP,TN,2331,none,2
49,False,FP,TN,FP,FP,2186,none,3
50,True,TP,FN,TP,TP,2288,none,1
51,True,TP,FN,TP,FN,2481,none,2
52,True,TP,FN,TP,TP,2423,none,1
53,True,TP,FN,TP,TP,2272,none,1
54,False,TN,TN,FP,TN,2337,none,1
55,True,TP,FN,TP,FN,2398,none,2
56,False,FP,TN,FP,TN,2232,none,2
57,True,FN,TP,TP,TP,2244,none,1
58,True,FN,TP,TP,FN,2248,none,2
61,True,TP,TP,TP,FN,1931,none,1
62,False,TN,TN,FP,TN,2096,none,1
63,False,TN,TN,FP,TN,2402,none,1
64,False,FP,TN,FP,TN,2380,none,2
65,True,FN,FN,TP,TP,2395,none,2
66,False,FP,FP,FP,FP,2443,none,4
67,True,TP,TP,TP,FN,2481,none,1
69,False,FP,FP,FP,FP,2385,none,4
72,False,TN,TN,FP,TN,2436,none,1
73,False,FP,TN,FP,FP,2411,none,3
74,True,TP,FN,TP,TP,2437,none,1
76,False,TN,FP,FP,FP,2392,none,3
