index,rating,gpt-3.5-turbo-0125,gpt-4o-2024-05-13,llama3:8b,llama3:70b,context_length,context_relevance
0,True,FN,FN,TP,FN,2398,none
1,False,TN,TN,FP,TN,1664,none
2,False,TN,TN,FP,TN,2285,none
3,False,TN,TN,FP,TN,2307,none
4,False,FP,TN,FP,FP,2160,none
5,False,FP,TN,FP,FP,2322,none
6,False,FP,TN,FP,FP,2356,none
7,True,FN,FN,TP,TP,2293,none
8,False,TN,TN,TN,TN,2339,none
9,True,TP,FN,FN,FN,2254,none
10,False,FP,FP,FP,TN,2295,none
11,False,TN,TN,FP,TN,2109,none
12,False,TN,TN,FP,FP,1868,none
13,True,FN,TP,TP,TP,1987,none
14,True,TP,TP,TP,TP,1934,none
15,False,TN,TN,TN,TN,2236,none
16,True,TP,TP,FN,TP,2302,none
17,False,FP,TN,FP,FP,2321,none
18,False,TN,TN,FP,FP,2198,none
19,True,TP,TP,TP,TP,2171,none
20,False,FP,FP,FP,FP,2235,none
21,True,TP,TP,TP,TP,2272,none
22,False,TN,TN,TN,TN,2385,none
23,False,TN,TN,TN,TN,1946,none
24,True,TP,TP,TP,TP,2248,none
25,True,TP,TP,TP,TP,2351,none
26,True,FN,TP,TP,TP,1989,none
27,False,TN,TN,FP,FP,2139,none
28,False,FP,FP,FP,TN,2224,none
29,False,TN,TN,FP,TN,2203,none
30,False,FP,TN,FP,TN,2297,none
31,False,FP,TN,FP,FP,2311,none
32,False,TN,TN,FP,FP,2201,none
33,False,FP,TN,TN,FP,2145,none
34,False,TN,TN,TN,FP,2201,none
35,False,TN,TN,FP,FP,2121,none
36,False,TN,TN,TN,TN,2333,none
37,False,TN,TN,TN,TN,2245,none
38,False,TN,TN,TN,TN,1900,none
39,True,TP,TP,TP,FN,2366,none
40,False,TN,TN,TN,TN,2216,none
41,False,TN,TN,TN,TN,1795,none
42,True,TP,TP,FN,TP,2041,none
43,False,TN,TN,FP,FP,2361,none
44,False,TN,TN,FP,FP,2120,none
45,False,TN,TN,FP,TN,2243,none
46,False,TN,TN,FP,TN,2264,none
47,False,TN,TN,TN,TN,2210,none
48,False,FP,TN,FP,TN,2331,none
49,False,FP,TN,FP,FP,2186,none
50,True,TP,FN,TP,TP,2288,none
51,True,TP,FN,TP,FN,2481,none
52,True,TP,FN,TP,TP,2423,none
53,True,TP,FN,TP,TP,2272,none
54,False,TN,TN,FP,TN,2337,none
55,True,TP,FN,TP,FN,2398,none
56,False,FP,TN,FP,TN,2232,none
57,True,FN,TP,TP,TP,2244,none
