dependency_category,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology
value-equality,jetlinks-community::::jetlinks-components/gateway-component/pom.xml::::project::::parent_jetlinks-components::::relativePath::::../pom.xml <-> jetlinks-community::::jetlinks-components/protocol-component/pom.xml::::project::::parent_jetlinks-components::::relativePath::::../pom.xml,jetlinks-community,project.parent_jetlinks-components.relativePath,../pom.xml,ConfigType.PATH,jetlinks-components/gateway-component/pom.xml,maven,project.parent_jetlinks-components.relativePath,../pom.xml,ConfigType.PATH,jetlinks-components/protocol-component/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-manager/device-manager/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> jetlinks-community::::jetlinks-manager/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,jetlinks-community,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,jetlinks-manager/device-manager/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,jetlinks-manager/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/notify-component/notify-dingtalk/pom.xml::::project::::dependencies::::dependency_notify-core::::artifactId::::notify-core <-> jetlinks-community::::jetlinks-components/notify-component/notify-sms/pom.xml::::project::::dependencies::::dependency_notify-core::::artifactId::::notify-core,jetlinks-community,project.dependencies.dependency_notify-core.artifactId,notify-core,ConfigType.NAME,jetlinks-components/notify-component/notify-dingtalk/pom.xml,maven,project.dependencies.dependency_notify-core.artifactId,notify-core,ConfigType.NAME,jetlinks-components/notify-component/notify-sms/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/common-component/pom.xml::::project::::parent_jetlinks-components::::relativePath::::../pom.xml <-> jetlinks-community::::jetlinks-components/elasticsearch-component/pom.xml::::project::::parent_jetlinks-components::::relativePath::::../pom.xml,jetlinks-community,project.parent_jetlinks-components.relativePath,../pom.xml,ConfigType.PATH,jetlinks-components/common-component/pom.xml,maven,project.parent_jetlinks-components.relativePath,../pom.xml,ConfigType.PATH,jetlinks-components/elasticsearch-component/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-manager/network-manager/pom.xml::::project::::dependencies::::dependency_protocol-component::::groupId::::org.jetlinks.community <-> jetlinks-community::::jetlinks-standalone/pom.xml::::project::::dependencies::::dependency_tdengine-component::::groupId::::org.jetlinks.community,jetlinks-community,project.dependencies.dependency_protocol-component.groupId,org.jetlinks.community,ConfigType.NAME,jetlinks-manager/network-manager/pom.xml,maven,project.dependencies.dependency_tdengine-component.groupId,org.jetlinks.community,ConfigType.NAME,jetlinks-standalone/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-manager/authentication-manager/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> jetlinks-community::::jetlinks-manager/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,jetlinks-community,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,jetlinks-manager/authentication-manager/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,jetlinks-manager/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/notify-component/notify-dingtalk/pom.xml::::project::::parent_notify-component::::relativePath::::../pom.xml <-> jetlinks-community::::jetlinks-components/protocol-component/pom.xml::::project::::parent_jetlinks-components::::relativePath::::../pom.xml,jetlinks-community,project.parent_notify-component.relativePath,../pom.xml,ConfigType.PATH,jetlinks-components/notify-component/notify-dingtalk/pom.xml,maven,project.parent_jetlinks-components.relativePath,../pom.xml,ConfigType.PATH,jetlinks-components/protocol-component/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/pom.xml::::project::::artifactId::::jetlinks-components <-> jetlinks-community::::jetlinks-components/relation-component/pom.xml::::project::::parent_jetlinks-components::::artifactId::::jetlinks-components,jetlinks-community,project.artifactId,jetlinks-components,ConfigType.NAME,jetlinks-components/pom.xml,maven,project.parent_jetlinks-components.artifactId,jetlinks-components,ConfigType.NAME,jetlinks-components/relation-component/pom.xml,maven
value-equality,jetlinks-community::::docker/dev-env/docker-compose.yml::::services::::elasticsearch::::ports::::in::::9300 <-> jetlinks-community::::docker/dev-env/docker-compose.yml::::services::::elasticsearch::::ports::::out::::9300,jetlinks-community,services.elasticsearch.ports.in,9300,ConfigType.PORT,docker/dev-env/docker-compose.yml,docker-compose,services.elasticsearch.ports.out,9300,ConfigType.PORT,docker/dev-env/docker-compose.yml,docker-compose
value-equality,jetlinks-community::::jetlinks-components/network-component/mqtt-component/pom.xml::::project::::dependencies::::dependency_jetlinks-core::::groupId::::org.jetlinks <-> jetlinks-community::::jetlinks-manager/notify-manager/pom.xml::::project::::dependencies::::dependency_jetlinks-core::::groupId::::org.jetlinks,jetlinks-community,project.dependencies.dependency_jetlinks-core.groupId,org.jetlinks,ConfigType.NAME,jetlinks-components/network-component/mqtt-component/pom.xml,maven,project.dependencies.dependency_jetlinks-core.groupId,org.jetlinks,ConfigType.NAME,jetlinks-manager/notify-manager/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/logging-component/pom.xml::::project::::dependencies::::dependency_logback-classic::::groupId::::ch.qos.logback <-> jetlinks-community::::pom.xml::::project::::dependencies::::dependency_logback-classic::::groupId::::ch.qos.logback,jetlinks-community,project.dependencies.dependency_logback-classic.groupId,ch.qos.logback,ConfigType.NAME,jetlinks-components/logging-component/pom.xml,maven,project.dependencies.dependency_logback-classic.groupId,ch.qos.logback,ConfigType.NAME,pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/elasticsearch-component/pom.xml::::project::::artifactId::::elasticsearch-component <-> jetlinks-community::::jetlinks-manager/device-manager/pom.xml::::project::::dependencies::::dependency_elasticsearch-component::::artifactId::::elasticsearch-component,jetlinks-community,project.artifactId,elasticsearch-component,ConfigType.NAME,jetlinks-components/elasticsearch-component/pom.xml,maven,project.dependencies.dependency_elasticsearch-component.artifactId,elasticsearch-component,ConfigType.NAME,jetlinks-manager/device-manager/pom.xml,maven
value-equality,jetlinks-community::::docker/run-all/docker-compose.yml::::services::::jetlinks::::environment::::hsweb.cors.configs[0].allowed-credentials::::true <-> jetlinks-community::::jetlinks-components/common-component/pom.xml::::project::::dependencies::::dependency_spring-data-redis::::optional::::true,jetlinks-community,services.jetlinks.environment.hsweb.cors.configs[0].allowed-credentials,TRUE,ConfigType.ENVIRONMENT,docker/run-all/docker-compose.yml,docker-compose,project.dependencies.dependency_spring-data-redis.optional,TRUE,ConfigType.BOOLEAN,jetlinks-components/common-component/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/protocol-component/pom.xml::::project::::dependencies::::dependency_common-component::::scope::::compile <-> jetlinks-community::::jetlinks-standalone/pom.xml::::project::::dependencies::::dependency_reactor-netty::::scope::::compile,jetlinks-community,project.dependencies.dependency_common-component.scope,compile,ConfigType.UNKNOWN,jetlinks-components/protocol-component/pom.xml,maven,project.dependencies.dependency_reactor-netty.scope,compile,ConfigType.UNKNOWN,jetlinks-standalone/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/configure-component/pom.xml::::project::::dependencies::::dependency_timeseries-component::::groupId::::org.jetlinks.community <-> jetlinks-community::::jetlinks-components/notify-component/notify-email/pom.xml::::project::::parent_notify-component::::groupId::::org.jetlinks.community,jetlinks-community,project.dependencies.dependency_timeseries-component.groupId,org.jetlinks.community,ConfigType.NAME,jetlinks-components/configure-component/pom.xml,maven,project.parent_notify-component.groupId,org.jetlinks.community,ConfigType.NAME,jetlinks-components/notify-component/notify-email/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-manager/network-manager/pom.xml::::project::::dependencies::::dependency_tcp-component::::groupId::::${project.groupId} <-> jetlinks-community::::jetlinks-standalone/pom.xml::::project::::dependencies::::dependency_authentication-manager::::groupId::::${project.groupId},jetlinks-community,project.dependencies.dependency_tcp-component.groupId,${project.groupId},ConfigType.NAME,jetlinks-manager/network-manager/pom.xml,maven,project.dependencies.dependency_authentication-manager.groupId,${project.groupId},ConfigType.NAME,jetlinks-standalone/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/network-component/mqtt-component/pom.xml::::project::::dependencies::::dependency_gateway-component::::version::::gateway-component:${project.version} <-> jetlinks-community::::jetlinks-standalone/pom.xml::::project::::dependencies::::dependency_gateway-component::::version::::gateway-component:${project.version},jetlinks-community,project.dependencies.dependency_gateway-component.version,gateway-component:${project.version},ConfigType.VERSION_NUMBER,jetlinks-components/network-component/mqtt-component/pom.xml,maven,project.dependencies.dependency_gateway-component.version,gateway-component:${project.version},ConfigType.VERSION_NUMBER,jetlinks-standalone/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/logging-component/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> jetlinks-community::::jetlinks-components/relation-component/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,jetlinks-community,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,jetlinks-components/logging-component/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,jetlinks-components/relation-component/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/elasticsearch-component/pom.xml::::project::::parent_jetlinks-components::::relativePath::::../pom.xml <-> jetlinks-community::::jetlinks-components/notify-component/pom.xml::::project::::parent_jetlinks-components::::relativePath::::../pom.xml,jetlinks-community,project.parent_jetlinks-components.relativePath,../pom.xml,ConfigType.PATH,jetlinks-components/elasticsearch-component/pom.xml,maven,project.parent_jetlinks-components.relativePath,../pom.xml,ConfigType.PATH,jetlinks-components/notify-component/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/dashboard-component/pom.xml::::project::::dependencies::::dependency_timeseries-component::::groupId::::${project.groupId} <-> jetlinks-community::::jetlinks-components/rule-engine-component/pom.xml::::project::::dependencies::::dependency_common-component::::groupId::::${project.groupId},jetlinks-community,project.dependencies.dependency_timeseries-component.groupId,${project.groupId},ConfigType.NAME,jetlinks-components/dashboard-component/pom.xml,maven,project.dependencies.dependency_common-component.groupId,${project.groupId},ConfigType.NAME,jetlinks-components/rule-engine-component/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-manager/notify-manager/pom.xml::::project::::dependencies::::dependency_jetlinks-supports::::artifactId::::jetlinks-supports <-> jetlinks-community::::jetlinks-standalone/pom.xml::::project::::dependencies::::dependency_jetlinks-supports::::artifactId::::jetlinks-supports,jetlinks-community,project.dependencies.dependency_jetlinks-supports.artifactId,jetlinks-supports,ConfigType.NAME,jetlinks-manager/notify-manager/pom.xml,maven,project.dependencies.dependency_jetlinks-supports.artifactId,jetlinks-supports,ConfigType.NAME,jetlinks-standalone/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/dashboard-component/pom.xml::::project::::dependencies::::dependency_timeseries-component::::version::::timeseries-component:${project.version} <-> jetlinks-community::::jetlinks-components/things-component/pom.xml::::project::::dependencies::::dependency_timeseries-component::::version::::timeseries-component:${project.version},jetlinks-community,project.dependencies.dependency_timeseries-component.version,timeseries-component:${project.version},ConfigType.VERSION_NUMBER,jetlinks-components/dashboard-component/pom.xml,maven,project.dependencies.dependency_timeseries-component.version,timeseries-component:${project.version},ConfigType.VERSION_NUMBER,jetlinks-components/things-component/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/notify-component/notify-core/pom.xml::::project::::dependencies::::dependency_rule-engine-component::::optional::::true <-> jetlinks-community::::jetlinks-components/tdengine-component/pom.xml::::project::::dependencies::::dependency_things-component::::optional::::true,jetlinks-community,project.dependencies.dependency_rule-engine-component.optional,TRUE,ConfigType.BOOLEAN,jetlinks-components/notify-component/notify-core/pom.xml,maven,project.dependencies.dependency_things-component.optional,TRUE,ConfigType.BOOLEAN,jetlinks-components/tdengine-component/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/network-component/mqtt-component/pom.xml::::project::::dependencies::::dependency_vertx-core::::groupId::::io.vertx <-> jetlinks-community::::jetlinks-components/network-component/mqtt-component/pom.xml::::project::::dependencies::::dependency_vertx-mqtt::::groupId::::io.vertx,jetlinks-community,project.dependencies.dependency_vertx-core.groupId,io.vertx,ConfigType.NAME,jetlinks-components/network-component/mqtt-component/pom.xml,maven,project.dependencies.dependency_vertx-mqtt.groupId,io.vertx,ConfigType.NAME,jetlinks-components/network-component/mqtt-component/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/configure-component/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> jetlinks-community::::jetlinks-components/notify-component/notify-voice/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,jetlinks-community,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,jetlinks-components/configure-component/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,jetlinks-components/notify-component/notify-voice/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-manager/authentication-manager/pom.xml::::project::::parent_jetlinks-manager::::artifactId::::jetlinks-manager <-> jetlinks-community::::pom.xml::::project::::modules::::module::::jetlinks-manager,jetlinks-community,project.parent_jetlinks-manager.artifactId,jetlinks-manager,ConfigType.NAME,jetlinks-manager/authentication-manager/pom.xml,maven,project.modules.module,jetlinks-manager,ConfigType.NAME,pom.xml,maven
